"target_id","ens_gene","ext_gene","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq","b","se_b"
"ENST00000472042.1","ENSG00000177426","TGIF1",3.6171822245843e-06,0.00481790342260187,21.4577123337083,3.09489594034045,1,5.16415784095033,0.284049236415226,0.0120486819325037,0.0511124597070973,0.0364573746738158,0.0511124597070973,-0.270785671904637,0.0581444793261604
"ENST00000472045.1","ENSG00000125347","IRF1",2.00309629773178e-06,0.00350498928610967,22.5920706283,5.53821183482439,1,5.97103510623444,0.269319067271907,0.00377802162194483,0.109246709701002,0.0324095279052422,0.109246709701002,-0.363392088430174,0.0740963266206944
"ENST00000473296.1","ENSG00000047457","CP",1.32566916993098e-05,0.00976689252805994,18.9732077340475,16.6010069507611,1,4.21908404861529,1.89302323709991,0.0574110120555943,0.281385048164021,0.0493484633011188,0.281385048164021,-0.585749387144092,0.132498731615704
"ENST00000476896.5","ENSG00000021355","SERPINB1",1.13561554961613e-07,0.000854038989529307,28.1278219305219,7.75125357587636,1,4.38880861661002,0.432987578537295,0.0394725147971646,0.118716333690108,0.0457614315622828,0.118716333690108,-0.468549267555211,0.0834319275391284
"ENST00000477265.5","ENSG00000164136","IL15",1.55331087750047e-06,0.0032809408773269,23.0808373786009,5.99641730604908,1,4.07995899288407,0.978703352298468,0.03087632156174,0.0914995418270168,0.0527941861447413,0.0914995418270168,-0.381390730722104,0.0767648780883208
"ENST00000477974.1","ENSG00000188313","PLSCR1",2.66877291394751e-06,0.00400535468340037,22.0410780185269,10.845855363405,1,3.35379018127467,0.752145131623763,0.0555232615909467,0.165820725417319,0.0842008868172549,0.165820725417319,-0.503494715596364,0.104203029576026
"ENST00000480147.3","ENSG00000160213","CSTB",1.31353977204806e-05,0.0097508435745034,18.9907458214872,7.44967588866919,1,4.05024479629237,0.625945996752793,0.0361799097316877,0.115854292077888,0.0536010560984412,0.115854292077888,-0.392536688276861,0.0887452645086566
"ENST00000489652.1","ENSG00000138496","PARP9",3.42066681405535e-06,0.00472090563064303,21.5648337029641,7.72002646817938,1,4.14953425681894,0.754180854517937,0.0525445901761051,0.105006970398984,0.0510062205422785,0.105006970398984,-0.421042201349387,0.0882885806479331
"ENST00000490745.5","ENSG00000188313","PLSCR1",1.8920784225306e-07,0.000927004902334642,27.1403443364973,9.89443717400526,1,3.65805732528353,0.743938164220449,0.0409766444196439,0.16095064484577,0.0674239299089601,0.16095064484577,-0.522161094559055,0.0950978995296685
"ENST00000497985.5","ENSG00000163746","PLSCR2",2.15349656256583e-06,0.00367550965595936,22.452993086895,4.50212652045639,1,4.16233284070414,0.913550309658482,0.0238108372526829,0.0680692958178557,0.0506918703534273,0.0680692958178557,-0.340508807667256,0.0721919738413585
"ENST00000502536.5","ENSG00000145623","OSMR",2.49089774524765e-07,0.00106120907939707,26.6089299873233,6.04919824368059,1,4.39920079068772,0.790873714527454,0.0323277575226341,0.0911252678586025,0.045560047387404,0.0911252678586025,-0.405169014883041,0.0747110626308997
"ENST00000504475.6","ENSG00000182718","ANXA2",7.05651717212524e-08,0.000837571065879879,29.0491468172041,3.86665205402611,1,5.98045025813242,0.315748380594378,0.00401778580361804,0.0748934806050781,0.0323773995674883,0.0748934806050781,-0.33501455002904,0.0584441834322994
"ENST00000506572.5","ENSG00000134057","CCNB1",1.16017968848858e-05,0.00924257620452188,19.2276952373393,5.84433424802884,1,6.75577862756509,0.273916852184864,0.00276175068611502,0.116510376824678,0.0309103415578512,0.116510376824678,0.349475679121423,0.0784377667313386
